ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-436-feind-1,354,Gothic,436-feind,fijands,fijands,ɸ ɪ j a n d s,,557564,,,^ fijands $,default,Feind,Feind-1,810-fijands
Gothic-453-abend-1,357,Gothic,453-abend,andanahti,andanahti,a n d a n a h t ɪ,,557564,,,^ andanahti $,default,Abend,Abend-1,253-andanahti
Gothic-543-bose-1,359,Gothic,543-bose,ubils,ubils,u β ɪ l s,,557564,,,^ ubils $,default,übel;  böse,bose-1,3141-ubils
Gothic-543-bose-2,361,Gothic,543-bose,unþiuþ,unþiuþ,u n θ ɪ u θ,,557564,,,^ unþiuþ $,default,das Böse,dasBose-1,3289-uniu
Gothic-1-auge-1,363,Gothic,1-auge,augo,augo,ɔ ɣ o,,557564,,,^ augo $,default,Auge,Auge-1,361-augo
Gothic-9-gesicht-1,364,Gothic,9-gesicht,andaugi,andaugi,a n d ɔ ɣ ɪ,,557564,,,^ andaugi $,default,Antlitz,Antlitz-1,263-andaugi
Gothic-696-fallen-1,368,Gothic,696-fallen,driusan,driusan,d r ɪ u s a n,,557564,,,^ driusan $,default,fallen,fallen-1,681-driusan
Gothic-570-bekannt-1,370,Gothic,570-bekannt,kunþs,kunþs,k u n θ s,,557564,,,^ kunþs $,default,kund;  bekannt,bekannt-1,1752-kuns
Gothic-198-familie-1,373,Gothic,198-familie,gards,gards,ɡ a r d s,,557564,,,^ gards $,default,Haus;  Hauswesen;  Familie,Familie-1,1093-gards
Gothic-575-fern-1,374,Gothic,575-fern,fairra,fairra,ɸ ɛ rː a,,557564,,,^ fairra $,default,fern,fern-1,752-fairra
Gothic-355-fett-1,376,Gothic,355-fett,smairþr*,smairþr,s m ɛ r θ r̥,,557564,,,^ smairþr $,default,Fett,Fett-1,2670-smairr
Gothic-202-vater-1,377,Gothic,202-vater,abba,abba,a bː a,,557564,,,^ abba $,default,Vater,Vater-1,3-abba
Gothic-202-vater-2,379,Gothic,202-vater,fadar,fadar,ɸ a ð a r,,557564,,,^ fadar $,default,Vater,Vater-3,720-fadar
Gothic-446-schuld-1,380,Gothic,446-schuld,dulgis,dulgis,d u l ɡ ɪ s,,557564,,,^ dulgis $,default,Schuld,Schuld-1,699-dulgis
Gothic-446-schuld-2,381,Gothic,446-schuld,fairina,fairina,ɸ ɛ r ɪ n a,,557564,,,^ fairina $,default,Schuld;  Grund;  Vorwurf,Schuld-2,747-fairina
